Genus_species	states
Valeriana_niphobia	1
Valeriana_stenophylla	1
Valeriana_rigida	1
Valeriana_aretioides	1
Valeriana_prionophylla	1
Valeriana_texana	1
Valeriana_procera	1
Valeriana_edulis	1
Valeriana_capensis	1
Valeriana_dioica	1
Valeriana_acutiloba	1
Valeriana_arizonica	1
Valeriana_hookeri	1
Valeriana_sitchensis	1
Valeriana_pauciflora	1
Valeriana_californica	1
Valeriana_occidentalis	1
Valeriana_capitata	1
Valeriana_officinalis	1
Valeriana_wallrothii	1
Valeriana_fauriei	1
Valeriana_asarifolia	1
Valeriana_tuberosa	1
Valeriana_trichostoma	1
Valeriana_minutiflora	1
Valeriana_kawakamii	1
Valeriana_flaccidissima	1
Valeriana_stenoptera	1
Valeriana_tripteris	1
Valeriana_apula	1
Valeriana_supina	1
Valeriana_saliunca	1
Valeriana_montana	1
Valeriana_pyrenaica	1
Fedia_graciliflora	1
Fedia_pallescens	1
Fedia_cornucopiae	1
Valerianella_locusta	1
Valerianella_pumila	1
Valerianella_coronata	1
Valerianella_vesicaria	1
Valerianella_rimosa	1
Valerianella_carinata	1
Valerianella_dentata	1
Valerianella_eriocarpa	1
Valerianella_microcarpa	1
Valerianella_discoidea	1
Valerianella_muricata	1
Valerianella_florifera	1
Valerianella_stenocarpa	1
Valerianella_umbilicata	1
Valerianella_amarella	1
Valerianella_texana	1
Patrinia_gibbosa	1
Patrinia_rupestris	1
Patrinia_scabiosifolia	1
Patrinia_villosa	1
Patrinia_heterophylla	1
Patrinia_scabra	1
Patrinia_saniculifolia	1
Cryptothladia_chlorantha	1
Morina_coulteriana	1
Morina_persica	1
Morina_longifolia	1
Cryptothladia_kokonorica	1
Cryptothladia_polyphylla	1
Cryptothladia_chinensis	1
Acanthocalyx_delavayi	1
Acanthocalyx_nepalensis	1
Acanthocalyx_albus	1
Heptacodium_miconioides	1
Triosteum_pinnatifidum	0
Triosteum_perfoliatum	0
Triosteum_angustifolium	0
Triosteum_aurantiacum	0
Triosteum_sinuatum	0
Triosteum_himalayanum	0
Symphoricarpos_sinensis	0
Symphoricarpos_longiflorus	0
Symphoricarpos_microphyllus	0
Symphoricarpos_rotundifolius	0
Symphoricarpos_oreophilus	0
Symphoricarpos_occidentalis	0
Symphoricarpos_palmeri	0
Symphoricarpos_mollis	0
Symphoricarpos_hesperius	0
Symphoricarpos_albus	0
Leycesteria_crocothyrsos	0
Leycesteria_formosa	0
Lonicera_altmannii	0
Lonicera_standishii	0
Lonicera_hispida	0
Lonicera_setifera	0
Lonicera_inconspicua	0
Lonicera_oresbia	0
Lonicera_tangutica	0
Lonicera_microphylla	0
Lonicera_obovata	0
Lonicera_caerulea	0
Lonicera_gracilipes	0
Lonicera_gynochlamydea	0
Lonicera_serreana	0
Lonicera_myrtilloides	0
Lonicera_tomentella	0
Lonicera_myrtillus	0
Lonicera_rupicola	0
Lonicera_syringantha	0
Lonicera_spinosa	0
Lonicera_prostrata	0
Lonicera_caprifolium	0
Lonicera_etrusca	0
Lonicera_subspicata	0
Lonicera_hirsuta	0
Lonicera_albiflora	0
Lonicera_flava	0
Lonicera_pilosa	0
Lonicera_hispidula	0
Lonicera_interrupta	0
Lonicera_ciliosa	0
Lonicera_dioica	0
Lonicera_tragophylla	0
Lonicera_periclymenum	0
Lonicera_nervosa	0
Lonicera_korolkowii	0
Lonicera_tatarica	0
Lonicera_morrowii	0
Lonicera_sovetkinae	0
Lonicera_ruprechtiana	0
Lonicera_hemsleyana	0
Lonicera_subsessilis	0
Lonicera_maackii	0
Lonicera_heteroloba	0
Lonicera_floribunda	0
Lonicera_xylosteum	0
Lonicera_deflexicalyx	0
Lonicera_steveniana	0
Lonicera_chrysantha	0
Lonicera_demissa	0
Lonicera_lanceolata	0
Lonicera_trichosantha	0
Lonicera_quinquelocularis	0
Lonicera_cyanocarpa	0
Lonicera_oblongifolia	0
Lonicera_graebneri	0
Lonicera_maximowiczii	0
Lonicera_nigra	0
Lonicera_modesta	0
Lonicera_orientalis	0
Lonicera_vesicaria	0
Lonicera_ferdinandi	0
Lonicera_iberica	0
Lonicera_pyrenaica	0
Lonicera_ledebourii	0
Lonicera_involucrata	0
Lonicera_alpigena	0
Lonicera_pileata	0
Lonicera_nitida	0
Lonicera_calcarata	0
Lonicera_henryi	0
Lonicera_giraldii	0
Lonicera_japonica	0
Lonicera_acuminata	0
Lonicera_hypoglauca	0
Lonicera_similis	0
Lonicera_confusa	0
Lonicera_fulvotomentosa	0
Lonicera_macranthoides	0
Lonicera_dasystyla	0
Diervilla_rivularis	0
Diervilla_lonicera	0
Diervilla_sessilifolia	0
Weigela_middendorffiana	0
Weigela_subsessilis	0
Weigela_florida	0
Weigela_hortensis	0
Weigela_coraeensis	0
Weigela_japonica	0
Weigela_toensis	0
Weigela_praecox	0
Weigela_maximowiczii	0
Quintinia_quatrefagesii	0
Quintinia_verdonii	0
Sphenostemon_lobosporus	0
Paracryphia_alticola	0
