"","lambda0.clone64","lambda1.clone64","mu0.clone64","mu1.clone64","q01.clone64","q10.clone64"
"1",0.176643576154777,0.0738048395417543,0.0756047261949422,0.000159421788907413,0.0198682520058779,2.64147699930366e-05
"2",0.180073014175745,0.0792561037951958,0.0753807178126433,0.000203393708274694,0.0193836691869832,5.040900180839e-06
"3",0.178667633873941,0.0785261295401189,0.0858263724574365,0.000139083473383465,0.0196255349484351,1.06994128130341e-05
"4",0.187377106738557,0.0769197967584695,0.0795516844225574,6.83701854899428e-05,0.02013774348477,0.000180993783061849
"5",0.177512581664514,0.0757294632954441,0.0782203412504599,7.23371494636039e-05,0.0197211236015676,0.00013467559785733
"6",0.176000906383264,0.0785189970615356,0.0770444801866774,7.92056728588504e-05,0.0216257563203533,0.000130377241837665
"7",0.174960606308625,0.07792834518461,0.070975884333561,2.71231379487367e-05,0.0215636791134849,6.63031995896536e-05
"8",0.174462407758068,0.0755713062216394,0.0726228580176469,0.000273533702966358,0.0202274251460451,2.6921015920489e-05
"9",0.17831822391046,0.0750749041307203,0.0827244575205578,6.58696618310631e-06,0.0194929156011662,7.18915298790358e-05
"10",0.181233302034915,0.0760816764690729,0.0837485169067142,0.000273514617321635,0.0203879133507334,6.1092771516535e-05
"11",0.183377638946959,0.0798307629950282,0.0793422085849315,6.97226260367404e-05,0.0212544603979789,4.0577332566716e-05
"12",0.178154858126568,0.0758692651672141,0.0798785186609213,0.000305006391767549,0.0194124114342092,4.90119774507008e-05
"13",0.183262390965808,0.0757535259543995,0.0841371177827117,8.15579348741243e-05,0.0201851586576476,7.08214251408577e-05
"14",0.180886147148062,0.0765054817103214,0.0890915974224094,0.000279451763296093,0.0183826419147476,3.5772634400869e-05
"15",0.181412948827732,0.0740853150996868,0.0857224621106394,0.000477522896769276,0.0195514108688535,3.17468153310965e-05
"16",0.179199028302686,0.0799159493420848,0.0855434162960171,0.000527784488754807,0.0197820756826379,1.99257061581702e-05
"17",0.179321079114691,0.0741105745513496,0.0804069075985831,0.000113047249935318,0.0216968223750722,7.53787180935134e-05
"18",0.181455839908688,0.0758634876014945,0.0773225675648578,0.000229439279376328,0.0208289234490063,0.000258126418968718
"19",0.178988427585779,0.0785831459503122,0.0790570150760366,0.00054980589827785,0.0207549304187347,1.28770389196724e-05
"20",0.18303753109101,0.0750131601397693,0.0817809816154638,0.000199911257141859,0.0205139989660148,0.000258091262931868
"21",0.186133432371427,0.0760364161899408,0.0912096736271149,0.000676792686653869,0.0193531883677123,0.000353418332961658
"22",0.186476781273615,0.0791902622961823,0.0889587576798005,0.000664662031270831,0.0196880544554788,0.000270876690976752
"23",0.183663292722867,0.0765395999321869,0.0814085085740924,3.16394035688219e-05,0.0212058135186197,0.000225028461787913
"24",0.183083024110067,0.0767892436504767,0.0813279718343627,2.50573365010407e-05,0.0193969339300012,2.67814050270887e-05
"25",0.177563574437694,0.0766722604082698,0.0748678829826536,0.000844412870263603,0.0199852823733086,1.74482030691374e-05
"26",0.179864247005612,0.076004933528326,0.0736270149077829,0.000703708511359256,0.0209004687582227,3.82301085117639e-05
"27",0.17070583690801,0.0768875269205767,0.0624783800859699,0.000324094507727005,0.0212587044861857,2.2177272758572e-05
