"","lambda0","lambda1","mu0","mu1","q01","q10"
"1",0.164513684060075,0.0770287121412195,0.0425516643164301,0.0173110552413021,0.0331380824343152,0.00245928266775489
"2",0.122655494133038,0.0987286062102969,0.0320686263626366,0.00109215244767134,0.0212062697536232,0.00348615158308698
"3",0.158144846625833,0.0720098309554875,0.0542962444195626,0.0002347166599941,0.0296394827236069,0.00354013619487002
"4",0.162518149543961,0.0739027767909958,0.0496569032370342,0.0401485804415704,0.0400153005735457,0.00750364622413052
"5",0.178388838048521,0.0755376878808923,0.0810090194816504,0.0482384844455672,0.024389363666957,0.000639713640123926
"6",0.204912669623624,0.102843393923187,0.0718711445132506,0.0245721391202962,0.0252856003798998,0.00529079140592948
"7",0.230341499667475,0.0812819068028172,0.131924998442431,0.0196729520609655,0.0282673051219531,0.00133101980509442
"8",0.222255634435756,0.0663932643870344,0.126842859980529,0.0150530576698808,0.0213663096638912,0.00134409516438556
"9",0.219873644456803,0.0770357195267046,0.138635140255731,0.029226693937106,0.01860251078715,0.00171596844218279
"10",0.166139131018699,0.0832462339806824,0.126529533009485,0.0167854433984925,0.0255019678286112,0.000450144653634937
"11",0.173837367144491,0.0836331557339557,0.00819260844365526,0.0156468648580412,0.0343842891150814,0.00577806621003751
"12",0.157111886741721,0.0983646436595066,0.0517892892369062,0.013342658616687,0.0216498695106108,0.00803887238035241
"13",0.12015890784275,0.0941887141769893,0.0451204079797016,0.0362192045999193,0.0356919348721037,0.00798526552320279
"14",0.164630931534761,0.0822452338546179,0.0412029410660776,0.028146197266436,0.0479973926582756,0.00293813479224189
"15",0.197071504818194,0.0883353131514572,0.104143427880605,0.0414806957824503,0.0476619338035502,0.00086096791375373
"16",0.187555735403367,0.129758178161971,0.0647188864387543,0.0878091624927708,0.0353285987387252,0.00729611538207137
"17",0.186742234109868,0.112037686858077,0.0752970308224928,0.0876830351238686,0.0345127077124237,0.00858145825293573
"18",0.167360443651669,0.165017753716196,0.0588859130210215,0.0799078817142895,0.0479329741044199,3.66128739247751e-05
"19",0.169496176602679,0.160680500443522,0.0797420423591447,0.133960956109674,0.0253354846370183,0.00246940077128069
"20",0.155425579289094,0.150714292790564,0.0491919760870152,0.0941899996733978,0.060935128350393,0.0024544142690537
"21",0.179950714219529,0.13696621316724,0.0703823306834161,0.0877208943485889,0.0294218241907054,0.00216280608780386
"22",0.145556818339631,0.121682753870873,0.0672049977243613,0.0883416944549681,0.0520921375708778,0.00283001250034404
"23",0.219098877143068,0.115048121722919,0.0577999887280438,0.0801514593158942,0.0403539272789512,0.00219609754714029
"24",0.179807196989794,0.118954373551518,0.0214867241558368,0.0602346861705988,0.0202688119656593,0.00461549442648544
"25",0.129707564448171,0.115817781180036,0.0356051814697623,0.0595785194262546,0.0309282053936488,0.000879181144048299
"26",0.118239069226168,0.101644677316896,0.00939530531135949,0.0338988388556218,0.0361598556299691,0.000928730836535392
"27",0.163264955517238,0.113046767296514,0.00942874794587149,0.0452297442252936,0.0303856163475436,0.000953151653991536
"28",0.140200895224018,0.082630446727837,0.0694237480135509,0.0414497905425815,0.0248905797179129,0.00352106928288675
"29",0.167122183028944,0.101841304482317,0.059598100963429,0.0184806669819693,0.0309037548752684,0.00579826722646572
"30",0.16826607601509,0.0875461500419087,0.0462823825551272,0.0376286627099623,0.0162134376951224,0.0106057279634171
"31",0.185416020399478,0.114474603579618,0.0772954681214814,0.0332336814953745,0.0581243909559114,0.00481223198054055
"32",0.225118971350855,0.058155770725935,0.128339816437763,0.0117538589152216,0.0341361453239249,0.00434390315234122
"33",0.230875828143131,0.0793623042650179,0.100336664575753,0.0173710147230224,0.0144814160733996,0.0011384484222295
"34",0.189806597425156,0.0830801785598021,0.141552780055923,0.0018407564076333,0.01681519488591,0.000271225004845639
"35",0.185091119527187,0.0841532786526095,0.0485116781437936,0.0336269686546987,0.0495614822895206,0.00391867046639829
"36",0.165065930756903,0.0790261643302503,0.0289444054666133,0.0384587611424072,0.021179989202154,0.00123517182246766
"37",0.154460178200797,0.114018868542303,0.0825366305108239,0.0539003014440444,0.0207815153422927,2.20878204251064e-05
"38",0.184011875006291,0.102783293097398,0.0521733783727992,0.0102156484675399,0.0224452496801787,0.000111504344797178
"39",0.139584902112054,0.0870988551808069,0.00879639243780239,0.00506016987276975,0.0205661872231633,0.00011612941835678
"40",0.130143863472514,0.0933923769878218,0.0147918497466881,0.0048255401183166,0.0311798239087383,0.0066559131265821
"41",0.139061325927832,0.0695477157466463,0.00728673195299863,0.0046172173390993,0.0267314924879673,0.00479132615282798
"42",0.144446196607348,0.100140754139743,0.0203317168305436,0.000257122676581984,0.0335892296836357,0.00252331541584052
"43",0.152102880632946,0.0692045394149435,0.0249398963823075,0.00705904774767688,0.0198157118893007,0.0153561640927963
"44",0.215529405975024,0.0727307126149311,0.035261979878578,0.011355313097566,0.0316993247101378,0.00758766114122594
"45",0.134401303846873,0.0766246915138585,0.00590679630121201,0.0169693142284636,0.0437795567276758,0.00603460087209415
"46",0.174914030632967,0.0790769546437311,0.00326192727604358,0.00569459331851571,0.0183865602457695,0.00421773922852021
"47",0.165296023833947,0.0749741390007777,0.0874925631162651,0.0102456747152004,0.0274158849835549,0.00200720299755328
"48",0.179984445730792,0.077093843914465,0.0808316569758638,0.00268781325698729,0.0145449969216665,0.000630418070465413
"49",0.179151006001674,0.0874539771956813,0.0807671161002003,0.000995373973169687,0.0277785342350377,0.000655893255126524
"50",0.239898559911326,0.0726032201087986,0.0455015938076816,3.07539256636099e-06,0.024366929931627,0.0233410986422297
"51",0.231544159932853,0.0866818056726402,0.0933976367773628,0.00369955462678433,0.0164686721483231,0.0162137866995859
"52",0.201684748977515,0.0726702826190061,0.164049255920654,0.00145568057294856,0.0249098486473553,0.0158831218276129
"53",0.266608779062735,0.0700811465019831,0.163585660460529,0.0132976980269069,0.0300696327898325,0.00689089793922342
"54",0.292866332628227,0.0710121305623247,0.259345573169539,0.0289679865958346,0.0169733216757821,0.00823111892680305
"55",0.307454125133323,0.0911179699747211,0.264466756137313,0.0063533939514485,0.0134411198507703,0.0178673674875923
"56",0.31536230866898,0.102915365497145,0.25789591282332,0.0647239454469107,0.0464207845094197,0.0256562055426382
"57",0.335955716128989,0.0778349927062223,0.248179102531468,0.0426771030898335,0.0472871110580894,0.0232421930804344
"58",0.301939887338462,0.0833272210664819,0.247599068038386,0.00487758611862496,0.0173320599121602,0.0163481823572799
"59",0.310773908842239,0.0999967736805892,0.21399662793992,0.0383131969228026,0.0378421796272796,0.0108028935727902
"60",0.249317757666084,0.0995173242161927,0.0635413734324683,0.0408314141822801,0.0472994780660039,0.000199000935872006
"61",0.166352755809888,0.0883140425738659,0.0651441134574978,0.0437188946946332,0.0456257537263338,0.00124215686487715
"62",0.207263643534815,0.0898680400110003,0.0647132622526152,0.0370581419050614,0.0289904069734402,0.000902945010647504
"63",0.216134053735493,0.0816900538739393,0.087522757764914,0.0424948015621484,0.0331949396245273,0.0110410542933254
"64",0.191928659298651,0.103598984748055,0.0402106183824862,0.00168919211788253,0.0283879817898311,0.00174681390399489
"65",0.157637743404389,0.0727829467665458,0.0264395015334869,0.00586210840321967,0.0248563830017422,0.00657264410287906
"66",0.146522110781328,0.101065020111563,0.0125205458687529,0.023971377288586,0.0344783581646591,0.00316573323623885
"67",0.162774054897908,0.0608513484348604,0.0539026795447781,0.0169011630877832,0.0224261184746605,0.000565166909538155
"68",0.183428567879155,0.0623528417806119,0.0540277739503991,0.0190102795398727,0.0237983270516294,0.00063473853864172
"69",0.165983243749188,0.0949891339310701,0.00565604545793916,0.0242296326460402,0.060844783839325,0.00999710622172217
"70",0.168479221633456,0.0822473562333805,0.0487404626573784,0.00829997589849201,0.0260036439298432,1.93241770709952e-05
"71",0.17831903240636,0.0788476459195063,0.060048832349715,0.00182774605216325,0.0331631734795538,0.00169901582059859
"72",0.164208341882729,0.0801198498477232,0.0276134819301128,0.0179671174550468,0.0401001094762508,0.000694155512959581
"73",0.116268859188663,0.0908182924398444,0.0337868733067339,0.018595055869095,0.0458582743483065,0.00212961223021509
"74",0.167803941899029,0.0729521718413476,0.0171125017184679,0.00413966210553858,0.0449559228789295,0.00708506971019838
"75",0.123783694151096,0.0734595338461407,0.0103715112131276,0.00763311409061131,0.0303408347542564,0.00815074819033073
"76",0.174825112219542,0.0747058096736902,0.123624120423722,0.0332263260766302,0.0159371063341481,0.00309442858652239
"77",0.211802696679162,0.0772891799254184,0.106433233834974,0.00730425855635395,0.0139477740442388,0.000882566536614818
"78",0.205017723066237,0.0891023226498701,0.0571846615280435,0.00594526813122712,0.02153694335693,0.00344522942078933
"79",0.198417151516975,0.0897418636739829,0.0707002935665923,0.000955783696204613,0.0194067260215636,0.00273198184866551
"80",0.157425952548284,0.0786310571682509,0.06638879211997,0.0202349460439598,0.0227598608349444,0.000573055812209328
"81",0.173928301740523,0.0944717322142141,0.0529565672588336,0.0227630997693564,0.0223719060018894,0.000146405328843957
"82",0.185237540933742,0.0969786037921704,0.0647853749998282,0.0287664491533929,0.0259570415242653,0.000766111842622279
"83",0.188872486525586,0.0861863431234974,0.104126569679318,0.00730975275263063,0.0136705237204527,0.00362201716107997
"84",0.18748242534647,0.0685006265593898,0.0972120169928144,0.00352570162077134,0.0262513523545783,0.00486977171599454
"85",0.156016954636976,0.0686558227180303,0.105257167027486,0.00490720842593679,0.02052388583295,0.00145138541917195
"86",0.229588051001621,0.0713403127641193,0.0918766182892584,0.0158568457139447,0.0207785116517962,0.0026956169071321
"87",0.200582789668366,0.0782881302319077,0.0710538341554499,0.00404615511757395,0.0167898108983863,0.00283611128561855
"88",0.189452928446128,0.0792117127598333,0.0970922955136815,0.00748856746304978,0.0158169959441964,0.00126497497973692
"89",0.162431067433254,0.0887051486379899,0.0853117546057242,0.00847920844884338,0.0276267000697645,0.00698333778293883
"90",0.163898900802304,0.0834474312721445,0.106718284256689,0.00672903230613953,0.0216614398590113,0.00104440373375195
"91",0.209718755885909,0.0682742974741912,0.120524860509128,0.00268458162955663,0.0209083569458315,0.000298381762490527
"92",0.169048948663364,0.0913672018724644,0.144018668913526,0.0070998487390093,0.0179684947053701,0.00122312078774367
"93",0.247089648389221,0.0888828943797943,0.217444828337517,0.0192760801439024,0.0162158912169873,0.000476014376403715
"94",0.249321369675161,0.097292870454539,0.104760460234162,0.0172585861434512,0.0304826938868618,0.00172038360216465
"95",0.143331544665785,0.0910835808060792,0.0158034917689521,0.0475681978630609,0.0293239240338424,0.000564627518205079
"96",0.138817708043908,0.105630246568792,0.00465834231387881,0.000465898667102125,0.0171734730377826,0.000826753197648535
"97",0.141923188581598,0.094480746596042,0.0323400659133373,0.00260047661514664,0.0290230721313181,0.00288045077797081
"98",0.15973852823037,0.0652105782733191,0.0294809951180383,0.00234857280234769,0.0371476973423619,0.00320839894794239
"99",0.154563468444761,0.0682518192770919,0.0241575141674901,0.028269459797257,0.0262339763540495,0.00328737597647838
"100",0.163718383701507,0.0745862061459051,0.0552144874709585,0.0324306650643861,0.0214096603758672,0.00842295725984947
"101",0.153977198301102,0.121106773897194,0.0484567386715699,0.00309924140532038,0.0317575927722459,0.000422818902511587
"102",0.149476867281947,0.057294147300223,0.0459933575083842,0.00489933528321762,0.0213362376602713,3.83292771620823e-05
"103",0.14244452415517,0.114701917051925,0.0243252837793236,0.0330273117918333,0.0218122838130836,0.000306681666937089
"104",0.16232594257686,0.105263808483525,0.0141442314973827,0.0305236172130714,0.0454788922248333,0.000568687973739059
"105",0.162579141435088,0.102907300627973,0.0160128600065167,0.0358222410534167,0.0463210690803416,0.00291655903654856
"106",0.148613161663421,0.104335642289505,0.0699140013585976,0.0105324263912744,0.0234218777105276,0.000327290990149289
"107",0.153795138780295,0.0686491793868826,0.0153988431121718,0.0149814258835496,0.0350981349901078,0.000374811758557391
"108",0.154940075638149,0.0728761700725954,0.052211112511835,0.0305416875099271,0.0255223823286429,0.00622356777451222
"109",0.168672878389245,0.115376960190559,0.0473424790313037,0.0295131102404411,0.0171649047270639,0.00302765554284517
"110",0.181947671747681,0.0961331669946012,0.0940784981876179,0.0071558573266153,0.0226763474213166,0.00198507669121369
"111",0.194582099514927,0.0989119399248579,0.0895051397307201,0.00329386089452227,0.0127670891214739,0.00283381497073948
"112",0.220874310357683,0.0596842794597278,0.183526835343436,0.00170919051890205,0.0254994196408031,0.00330040060631271
"113",0.262603679006271,0.110843788676072,0.149648878258908,0.0609932287290609,0.0241010800787568,0.000216828661890168
"114",0.262069396907886,0.109207230109929,0.145667286979887,0.00535661708930463,0.0280078026008259,0.000603270942317134
"115",0.26348195197217,0.0638739165973787,0.165040479737574,0.00411636218686656,0.0178064155459961,0.0102403957533685
"116",0.243054766688252,0.0564170157942993,0.0942312914980947,0.00296477975491224,0.049815186268769,0.00490073600170648
"117",0.165222628426389,0.0682584613229788,0.089695141516553,0.0063217132092627,0.018038350607753,0.0018459254957986
"118",0.204404654395346,0.0883341299892392,0.123242526080289,0.00443142740830358,0.0118271378900887,0.00143658755540768
"119",0.181957427772691,0.0877291112106546,0.111610993135906,0.0162599975891834,0.025588322346323,0.00345205390594393
"120",0.244957113640296,0.0721563271541398,0.0974326679579245,0.00825996396487046,0.0173190128005258,0.00129311702998804
"121",0.212724891620954,0.0875144845047418,0.12327266547559,0.0127184459996987,0.0170460685108926,0.0022007251263139
"122",0.209305080866834,0.078311393731314,0.081700712177603,0.00604947130339157,0.03286156319807,0.00442291580717112
"123",0.208843200219495,0.106348393477093,0.138854998854338,0.0336652471398887,0.0212366324546037,0.00286944602522331
"124",0.191594543133072,0.11784644627361,0.148387738221494,0.0513787979159555,0.0217412204007028,0.00146673257958306
"125",0.228156630059523,0.0981576717765525,0.123700121784527,0.0338014179592317,0.0233535009912131,0.00590783501794134
"126",0.211684367743064,0.0895614403663847,0.123900075325063,0.0242067735027389,0.0207397465073451,0.00112011186862049
"127",0.184107652796643,0.0851743152444611,0.0168084048496891,0.00583351559200419,0.0333304415138472,0.013253500602519
"128",0.138574115297259,0.0560247762677632,0.0401643379353741,0.00095616099918432,0.0499571501841381,0.00300953882915253
"129",0.14191192663725,0.0931931355688852,0.00763394096644076,0.0164906830316011,0.0394683786274811,0.00167776136615474
"130",0.136213470648,0.0710291763499979,0.0281814924498686,0.012225526570864,0.0364426011374243,0.000628874363246373
"131",0.142055242530723,0.0769216424425336,0.0880280024651985,0.00485626575258204,0.0228463413732459,7.34645204589155e-05
"132",0.165037342575407,0.0768822325048817,0.0675457123913709,0.0205752168769558,0.0302079599440843,0.00102875606875084
"133",0.162527633161244,0.0857169743896963,0.0506253668902015,0.0352134495692804,0.0363312708659665,0.000939394990782881
